  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
     -0.1250       0.1250       0.9498      -0.0346      -0.0240      -0.0240
     -0.2500       0.3750       0.8459      -0.0135      -0.0231      -0.0231
     -0.1250       0.2500       0.8897      -0.0478      -0.0082      -0.0082
     -0.1250       0.3750       0.8296      -0.0298      -0.0218      -0.0218
     -0.2500       0.6250       0.6072      -0.0022      -0.0191      -0.0191
     -0.1250       0.5000       0.7102      -0.0398      -0.0055      -0.0055
     -0.1250       0.6250       0.5908      -0.0186      -0.0186      -0.0186
     -0.2500       0.8750       0.2508       0.0164      -0.0158      -0.0158
     -0.1250       0.7500       0.4130      -0.0245      -0.0022      -0.0022
     -0.1250       0.8750       0.2353       0.0009      -0.0155      -0.0155
     -0.1250       1.0000       0.0000       0.0000       0.0000       0.0000
      0.0000      -0.8750       0.2528       0.0184      -0.0160      -0.0160
      0.1250      -1.0000       0.0000       0.0000       0.0000       0.0000
      0.1250      -0.8750       0.2380       0.0036      -0.0151      -0.0151
      0.0000      -0.6250       0.6088      -0.0006      -0.0188      -0.0188
      0.1250      -0.7500       0.4161      -0.0214      -0.0002      -0.0002
      0.1250      -0.6250       0.5943      -0.0151      -0.0158      -0.0158
      0.0000      -0.3750       0.8464      -0.0129      -0.0208      -0.0208
      0.1250      -0.5000       0.7133      -0.0367      -0.0013      -0.0013
      0.1250      -0.3750       0.8323      -0.0271      -0.0174      -0.0174
      0.0000      -0.1250       0.9654      -0.0190      -0.0221      -0.0221
      0.1250      -0.2500       0.8917      -0.0458      -0.0032      -0.0032
      0.1250      -0.1250       0.9512      -0.0332      -0.0194      -0.0194
      0.0000       0.1250       0.9643      -0.0201      -0.0224      -0.0224
      0.1250       0.0000       0.9504      -0.0496      -0.0052      -0.0052
      0.1250       0.1250       0.9497      -0.0347      -0.0208      -0.0208
      0.0000       0.3750       0.8433      -0.0161      -0.0212      -0.0212
      0.1250       0.2500       0.8888      -0.0487      -0.0062      -0.0062
      0.1250       0.3750       0.8280      -0.0314      -0.0207      -0.0207
      0.0000       0.6250       0.6039      -0.0055      -0.0185      -0.0185
      0.1250       0.5000       0.7080      -0.0420      -0.0054      -0.0054
      0.1250       0.6250       0.5880      -0.0213      -0.0185      -0.0185
      0.0000       0.8750       0.2486       0.0142      -0.0154      -0.0154
      0.1250       0.7500       0.4106      -0.0269      -0.0027      -0.0027
      0.1250       0.8750       0.2333      -0.0011      -0.0153      -0.0153
      0.1250       1.0000       0.0000       0.0000       0.0000       0.0000
      0.2500      -0.8750       0.2530       0.0186      -0.0141      -0.0141
      0.3750      -1.0000       0.0000       0.0000       0.0000       0.0000
      0.3750      -0.8750       0.2372       0.0029      -0.0131      -0.0131
      0.2500      -0.6250       0.6098       0.0004      -0.0136      -0.0136
      0.3750      -0.7500       0.4160      -0.0215       0.0027       0.0027
      0.3750      -0.6250       0.5947      -0.0147      -0.0114      -0.0114
      0.2500      -0.3750       0.8484      -0.0110      -0.0148      -0.0148
      0.3750      -0.5000       0.7145      -0.0355       0.0037       0.0037
      0.3750      -0.3750       0.8343      -0.0250      -0.0122      -0.0122
      0.2500      -0.1250       0.9673      -0.0171      -0.0172      -0.0172
      0.3750      -0.2500       0.8941      -0.0434       0.0019       0.0019
      0.3750      -0.1250       0.9539      -0.0305      -0.0149      -0.0149
      0.2500       0.1250       0.9653      -0.0191      -0.0195      -0.0195
      0.3750       0.0000       0.9529      -0.0471      -0.0015      -0.0015
      0.3750       0.1250       0.9519      -0.0325      -0.0183      -0.0183
      0.2500       0.3750       0.8425      -0.0169      -0.0205      -0.0205
      0.3750       0.2500       0.8902      -0.0473      -0.0049      -0.0049
      0.3750       0.3750       0.8285      -0.0309      -0.0203      -0.0203
      0.2500       0.6250       0.6012      -0.0082      -0.0189      -0.0189
      0.3750       0.5000       0.7072      -0.0428      -0.0063      -0.0063
      0.3750       0.6250       0.5860      -0.0233      -0.0194      -0.0194
      0.2500       0.8750       0.2459       0.0115      -0.0153      -0.0153
