  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.0971       0.9347       0.0045      -0.0000      -0.0622       0.0003
      0.0614       1.0322       0.0016      -0.0000      -0.0452      -0.0001
      0.0938       1.0000       0.0039      -0.0001      -0.0657       0.0003
      0.0591       1.0966       0.0014      -0.0000      -0.0468      -0.0001
      0.0904       1.0653       0.0034      -0.0001      -0.0685       0.0003
      0.0570       1.1608       0.0012       0.0000      -0.0479      -0.0001
      0.0871       1.1305       0.0028      -0.0001      -0.0706       0.0003
      0.0551       1.2249       0.0010       0.0000      -0.0487      -0.0001
      0.0841       1.1955       0.0023      -0.0001      -0.0721       0.0003
      0.0535       1.2888       0.0008       0.0000      -0.0493      -0.0001
      0.0815       1.2602       0.0018      -0.0001      -0.0732       0.0003
      0.0522       1.3523       0.0006       0.0000      -0.0497      -0.0001
      0.0793       1.3245       0.0014      -0.0001      -0.0740       0.0003
      0.0514       1.4155       0.0004       0.0000      -0.0501      -0.0001
      0.0777       1.3883       0.0009      -0.0001      -0.0745       0.0003
      0.0509       1.4784       0.0002       0.0000      -0.0504      -0.0001
      0.0767       1.4517       0.0006      -0.0001      -0.0750       0.0003
      0.0509       1.5409       0.0001       0.0000      -0.0508      -0.0001
      0.0764       1.5144       0.0002      -0.0001      -0.0755       0.0003
      0.0514       1.6030      -0.0001       0.0000      -0.0513      -0.0001
      0.0767       1.5767      -0.0002      -0.0001      -0.0761       0.0003
      0.0522       1.6648      -0.0002       0.0000      -0.0518      -0.0001
      0.0777       1.6383      -0.0005      -0.0001      -0.0768       0.0003
      0.0535       1.7263      -0.0004       0.0000      -0.0522      -0.0001
      0.0793       1.6995      -0.0009      -0.0001      -0.0774       0.0003
      0.0551       1.7874      -0.0006       0.0000      -0.0526      -0.0002
      0.0815       1.7602      -0.0013      -0.0000      -0.0780       0.0002
      0.0570       1.8483      -0.0008       0.0001      -0.0528      -0.0002
      0.0841       1.8205      -0.0017       0.0000      -0.0785       0.0002
      0.0591       1.9091      -0.0010       0.0001      -0.0528      -0.0003
      0.0871       1.8805      -0.0021       0.0001      -0.0785       0.0001
      0.0614       1.9697      -0.0013       0.0001      -0.0523      -0.0004
      0.0904       1.9403      -0.0027       0.0001      -0.0781       0.0000
      0.0938       2.0000      -0.0034      -0.0001      -0.0770       0.0001
      0.1272       0.0294       0.0005       0.0000      -0.0001      -0.0000
      0.1563       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.1316       0.0882       0.0015      -0.0000      -0.0011      -0.0001
      0.1617       0.0579       0.0014      -0.0001      -0.0005      -0.0000
      0.1358       0.1473       0.0026      -0.0000      -0.0030      -0.0001
      0.1670       0.1160       0.0031      -0.0001      -0.0022      -0.0000
      0.1395       0.2067       0.0038      -0.0000      -0.0059      -0.0001
      0.1719       0.1745       0.0049      -0.0001      -0.0051      -0.0000
      0.1427       0.2665       0.0051      -0.0000      -0.0099      -0.0001
      0.1762       0.2334       0.0068      -0.0001      -0.0092       0.0000
      0.1452       0.3270       0.0063      -0.0000      -0.0149      -0.0001
      0.1797       0.2930       0.0087      -0.0001      -0.0146       0.0000
      0.1469       0.3880       0.0075      -0.0000      -0.0209      -0.0001
      0.1823       0.3533       0.0106      -0.0001      -0.0213       0.0000
      0.1477       0.4498       0.0084      -0.0001      -0.0277      -0.0001
      0.1839       0.4145       0.0122      -0.0001      -0.0291       0.0001
      0.1477       0.5123       0.0092      -0.0001      -0.0351      -0.0002
      0.1844       0.4765       0.0136      -0.0001      -0.0379       0.0001
      0.1469       0.5755       0.0097      -0.0001      -0.0431      -0.0002
      0.1839       0.5395       0.0147      -0.0001      -0.0473       0.0001
      0.1452       0.6395       0.0100      -0.0001      -0.0512      -0.0002
      0.1823       0.6033       0.0153      -0.0001      -0.0573       0.0001
      0.1427       0.7040       0.0099      -0.0000      -0.0592      -0.0002
      0.1797       0.6680       0.0155      -0.0001      -0.0673       0.0001
      0.1395       0.7692       0.0096      -0.0000      -0.0668      -0.0002
      0.1762       0.7334       0.0152      -0.0001      -0.0772       0.0001
      0.1358       0.8348       0.0091      -0.0000      -0.0739      -0.0002
      0.1719       0.7995       0.0146      -0.0001      -0.0865       0.0002
      0.1316       0.9007       0.0084      -0.0000      -0.0801      -0.0002
      0.1670       0.8660       0.0136      -0.0001      -0.0949       0.0002
      0.1272       0.9669       0.0075      -0.0000      -0.0855      -0.0002
      0.1617       0.9329       0.0123      -0.0001      -0.1024       0.0002
      0.1228       1.0331       0.0066      -0.0000      -0.0898      -0.0002
      0.1563       1.0000       0.0109      -0.0001      -0.1086       0.0002
      0.1184       1.0993       0.0056      -0.0000      -0.0932      -0.0002
      0.1508       1.0671       0.0094      -0.0001      -0.1137       0.0002
      0.1142       1.1652       0.0047      -0.0000      -0.0958      -0.0001
      0.1455       1.1340       0.0079      -0.0001      -0.1175       0.0003
      0.1105       1.2308       0.0038       0.0000      -0.0976      -0.0001
      0.1406       1.2005       0.0065      -0.0001      -0.1203       0.0003
      0.1073       1.2960       0.0030       0.0000      -0.0988      -0.0001
      0.1363       1.2666       0.0052      -0.0001      -0.1223       0.0003
      0.1048       1.3605       0.0023       0.0000      -0.0997      -0.0001
      0.1328       1.3320       0.0039      -0.0001      -0.1237       0.0003
      0.1031       1.4245       0.0016       0.0000      -0.1003      -0.0001
      0.1302       1.3967       0.0028      -0.0001      -0.1246       0.0003
      0.1023       1.4877       0.0009       0.0000      -0.1010      -0.0001
      0.1286       1.4605       0.0017      -0.0001      -0.1254       0.0003
      0.1023       1.5502       0.0002       0.0000      -0.1016      -0.0001
      0.1281       1.5235       0.0007      -0.0001      -0.1262       0.0003
      0.1031       1.6120      -0.0004       0.0000      -0.1024      -0.0001
      0.1286       1.5855      -0.0003      -0.0001      -0.1270       0.0003
      0.1048       1.6730      -0.0011       0.0000      -0.1032      -0.0002
      0.1302       1.6467      -0.0013      -0.0001      -0.1278       0.0002
      0.1073       1.7335      -0.0018       0.0001      -0.1039      -0.0002
      0.1328       1.7070      -0.0024      -0.0000      -0.1287       0.0002
      0.1105       1.7933      -0.0025       0.0001      -0.1045      -0.0003
      0.1363       1.7666      -0.0035       0.0000      -0.1294       0.0001
      0.1142       1.8527      -0.0034       0.0001      -0.1048      -0.0003
      0.1406       1.8255      -0.0047       0.0001      -0.1299       0.0001
      0.1184       1.9118      -0.0043       0.0001      -0.1045      -0.0004
      0.1455       1.8840      -0.0061       0.0001      -0.1298       0.0001
      0.1228       1.9706      -0.0053       0.0000      -0.1035      -0.0004
      0.1508       1.9421      -0.0076       0.0001      -0.1289       0.0001
      0.1563       2.0000      -0.0093      -0.0001      -0.1270       0.0001
      0.1908       0.0285       0.0011       0.0000      -0.0002      -0.0000
      0.2188       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.1971       0.0857       0.0033       0.0000      -0.0015      -0.0001
      0.2261       0.0563       0.0028      -0.0001      -0.0007      -0.0000
      0.2031       0.1432       0.0057      -0.0000      -0.0041      -0.0001
      0.2332       0.1129       0.0059      -0.0001      -0.0029      -0.0000
      0.2085       0.2012       0.0084      -0.0000      -0.0082      -0.0001
      0.2398       0.1700       0.0093      -0.0001      -0.0066      -0.0000
      0.2131       0.2599       0.0111      -0.0000      -0.0138      -0.0001
      0.2455       0.2277       0.0129      -0.0001      -0.0120      -0.0000
      0.2168       0.3194       0.0137      -0.0001      -0.0208      -0.0001
      0.2502       0.2863       0.0165      -0.0001      -0.0191      -0.0000
      0.2192       0.3798       0.0162      -0.0001      -0.0293      -0.0002
      0.2537       0.3458       0.0200      -0.0001      -0.0279       0.0000
      0.2205       0.4412       0.0184      -0.0001      -0.0391      -0.0002
      0.2559       0.4065       0.0231      -0.0001      -0.0383       0.0000
      0.2205       0.5037       0.0202      -0.0001      -0.0499      -0.0002
      0.2566       0.4684       0.0258      -0.0001      -0.0500       0.0000
      0.2192       0.5673       0.0214      -0.0001      -0.0615      -0.0002
      0.2559       0.5315       0.0279      -0.0001      -0.0629       0.0000
      0.2168       0.6319       0.0220      -0.0001      -0.0735      -0.0002
      0.2537       0.5958       0.0291      -0.0001      -0.0765       0.0001
      0.2131       0.6974       0.0220      -0.0001      -0.0855      -0.0002
      0.2502       0.6613       0.0296      -0.0001      -0.0904       0.0001
      0.2085       0.7637       0.0213      -0.0001      -0.0971      -0.0002
      0.2455       0.7277       0.0292      -0.0001      -0.1042       0.0001
      0.2031       0.8307       0.0202      -0.0001      -0.1080      -0.0003
      0.2398       0.7950       0.0281      -0.0001      -0.1175       0.0001
      0.1971       0.8982       0.0186      -0.0001      -0.1178      -0.0002
      0.2332       0.8629       0.0263      -0.0001      -0.1297       0.0001
      0.1908       0.9660       0.0168      -0.0000      -0.1262      -0.0002
      0.2261       0.9313       0.0239      -0.0001      -0.1406       0.0001
      0.1842       1.0340       0.0147      -0.0000      -0.1332      -0.0002
      0.2188       1.0000       0.0213      -0.0001      -0.1498       0.0002
      0.1779       1.1018       0.0126      -0.0000      -0.1388      -0.0002
      0.2114       1.0687       0.0184      -0.0001      -0.1574       0.0002
      0.1719       1.1693       0.0105      -0.0000      -0.1430      -0.0002
      0.2043       1.1371       0.0156      -0.0001      -0.1634       0.0002
      0.1665       1.2363       0.0085       0.0000      -0.1460      -0.0002
      0.1977       1.2050       0.0128      -0.0001      -0.1678       0.0002
      0.1619       1.3026       0.0067       0.0000      -0.1481      -0.0002
      0.1920       1.2723       0.0101      -0.0001      -0.1709       0.0002
      0.1582       1.3681       0.0049       0.0000      -0.1495      -0.0002
      0.1873       1.3387       0.0077      -0.0001      -0.1730       0.0002
      0.1558       1.4327       0.0033       0.0000      -0.1505      -0.0002
      0.1838       1.4042       0.0054      -0.0001      -0.1745       0.0002
      0.1545       1.4963       0.0018       0.0000      -0.1514      -0.0002
      0.1816       1.4685       0.0032      -0.0001      -0.1756       0.0002
      0.1545       1.5588       0.0003       0.0001      -0.1522      -0.0002
      0.1809       1.5316       0.0012      -0.0001      -0.1765       0.0002
      0.1558       1.6202      -0.0011       0.0001      -0.1531      -0.0002
      0.1816       1.5935      -0.0008      -0.0000      -0.1773       0.0002
      0.1582       1.6806      -0.0026       0.0001      -0.1540      -0.0002
      0.1838       1.6542      -0.0028      -0.0000      -0.1782       0.0002
      0.1619       1.7401      -0.0042       0.0001      -0.1548      -0.0003
      0.1873       1.7137      -0.0049       0.0000      -0.1791       0.0001
      0.1665       1.7988      -0.0059       0.0001      -0.1553      -0.0003
      0.1920       1.7723      -0.0071       0.0001      -0.1797       0.0001
      0.1719       1.8568      -0.0078       0.0001      -0.1554      -0.0003
      0.1977       1.8300      -0.0095       0.0001      -0.1799       0.0001
      0.1779       1.9143      -0.0098       0.0001      -0.1547      -0.0003
      0.2043       1.8871      -0.0121       0.0001      -0.1793       0.0001
      0.1842       1.9715      -0.0121      -0.0000      -0.1530      -0.0003
      0.2114       1.9437      -0.0149       0.0000      -0.1778       0.0001
      0.2188       2.0000      -0.0179      -0.0001      -0.1750       0.0001
      0.2541       0.0278       0.0018       0.0001      -0.0002      -0.0000
      0.2813       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.2623       0.0835       0.0056       0.0000      -0.0018      -0.0001
      0.2903       0.0550       0.0044      -0.0001      -0.0008      -0.0000
      0.2699       0.1397       0.0098       0.0000      -0.0051      -0.0001
      0.2989       0.1103       0.0094      -0.0001      -0.0034      -0.0000
      0.2768       0.1964       0.0143      -0.0000      -0.0101      -0.0001
